"";"."
"1";"SUGERISMOS UMA WIFI,"
"2";"SUGIRO Á RECEPSAO AVISAR O LOCAL DA SALA DA DRA COBAL. POIS AO AGUARDAR NO SALAO NAO ESTAO SENDO AVISADOS"
"3";"AINDA PODE MELHORAR, COMO A AGILIDADE POR EXEMPLO"
